"border","range","column","plot","Block","Accession","Source","Mother","Father","Kernel.Count","type"
NA,"09","19","0917","1","B37 x Mo17 WT","","CMI23FGH-065.45","CMI23FGH-067.05","40k",NA
NA,"09","20","0918","1","B37 x Mo17 WT","","CMI23FGH-065.45","CMI23FGH-067.05","40k",NA
NA,"09","21","0919","4","B37 x Oh43 pip1;5","","CMI23FGH-068.32","CMI23FGH-069.13","40k",NA
NA,"09","22","0920","4","B37 x Oh43 pip1;5","","CMI23FGH-068.32","CMI23FGH-069.13","40k",NA
NA,"09","23","0921","4","B37 x Oh43 pip1;5","","CMI23FGH-068.32","CMI23FGH-069.13","40k",NA
NA,"09","24","0922","4","B37 x Oh43 pip1;5","","CMI23FGH-068.32","CMI23FGH-069.13","40k",NA
NA,"09","25","0923","BORDER","BORDER","","DCK111-33","DCK111-33","40k",NA
NA,"09","26","0924","BORDER","BORDER","","DCK111-33","DCK111-33","40k",NA
NA,"10","01","1001","BORDER","BORDER","","DCK61-40RIB","DCK61-40RIB","40k",NA
NA,"10","02","1002","BORDER","BORDER","","DCK61-40RIB","DCK61-40RIB","40k",NA
NA,"10","03","1003","3","B73 x H99 slac1","#0034869","B73 mu1037824/mu1037824","H99 mu1037824/mu1037824","40k",NA
NA,"10","04","1004","3","B73 x H99 slac1","#0034869","B73 mu1037824/mu1037824","H99 mu1037824/mu1037824","40k",NA
NA,"10","05","1005","3","B73 x H99 slac1","#0034869","B73 mu1037824/mu1037824","H99 mu1037824/mu1037824","40k",NA
NA,"10","06","1006","3","B73 x H99 slac1","#0034870","B73 mu1037824/mu1037824","H99 mu1037824/mu1037824","40k",NA
NA,"10","07","1007","4","P1197","","P1197","P1197","40K",NA
NA,"10","08","1008","4","P1197","","P1197","P1197","40K",NA
NA,"10","09","1009","4","P1197","","P1197","P1197","40K",NA
NA,"10","10","1010","4","P1197","","P1197","P1197","40K",NA
NA,"10","11","1011","BORDER","BORDER","","DCK61-40RIB","DCK61-40RIB","40k",NA
NA,"10","12","1012","BORDER","BORDER","","DCK61-40RIB","DCK61-40RIB","40k",NA
NA,"10","15","1013","BORDER","BORDER","","DCK111-33","DCK111-33","40k",NA
NA,"10","16","1014","BORDER","BORDER","","DCK111-33","DCK111-33","40k",NA
NA,"10","17","1015","2","B37 x Mo17 pip1;5","","CMI23FGH-068.21","CMI23FGH-070.10","40k",NA
NA,"10","18","1016","2","B37 x Mo17 pip1;5","","CMI23FGH-068.21","CMI23FGH-070.10","40k",NA
