border,range,column,plot,Block,Accession,Source,Mother,Father,Kernel Count
,9,2,902,BORDER,BORDER,,DCK61-40RIB,DCK61-40RIB,40k
,9,3,903,1,P1151,,P1151,P1151,40k
,9,4,904,1,P1151,,P1151,P1151,40k
,9,5,905,1,P1151,,P1151,P1151,40k
,9,6,906,1,P1151,,P1151,P1151,40k
,9,7,907,2,B73 x H99 slac1,#0034869,B73 mu1037824/mu1037824,H99 mu1037824/mu1037824,40k
,9,8,908,2,B73 x H99 slac1,#0034869,B73 mu1037824/mu1037824,H99 mu1037824/mu1037824,40k
,9,9,909,2,B73 x H99 slac1,#0034869,B73 mu1037824/mu1037824,H99 mu1037824/mu1037824,40k
,9,10,910,2,B73 x H99 slac1,#0034869,B73 mu1037824/mu1037824,H99 mu1037824/mu1037824,40k
,9,11,911,BORDER,BORDER,,DCK61-40RIB,DCK61-40RIB,40k
,9,12,912,BORDER,BORDER,,DCK61-40RIB,DCK61-40RIB,40k
,9,13,913,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,9,14,914,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,9,15,915,1,B37 x Mo17 WT,,CMI23FGH-065.45,CMI23FGH-067.05,40k
,9,16,916,1,B37 x Mo17 WT,,CMI23FGH-065.45,CMI23FGH-067.05,40k
,9,17,917,1,B37 x Mo17 WT,,CMI23FGH-065.45,CMI23FGH-067.05,40k
,9,18,918,1,B37 x Mo17 WT,,CMI23FGH-065.45,CMI23FGH-067.05,40k
,9,19,919,4,B37 x Oh43 pip1;5,,CMI23FGH-068.32,CMI23FGH-069.13,40k
,9,20,920,4,B37 x Oh43 pip1;5,,CMI23FGH-068.32,CMI23FGH-069.13,40k
,9,21,921,4,B37 x Oh43 pip1;5,,CMI23FGH-068.32,CMI23FGH-069.13,40k
,9,22,922,4,B37 x Oh43 pip1;5,,CMI23FGH-068.32,CMI23FGH-069.13,40k
,9,23,923,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,9,24,924,BORDER,BORDER,,DCK111-33,DCK111-33,40k
,10,1,1001,BORDER,BORDER,,DCK61-40RIB,DCK61-40RIB,40k
,10,2,1002,BORDER,BORDER,,DCK61-40RIB,DCK61-40RIB,40k
,10,3,1003,3,B73 x H99 slac1,#0034869,B73 mu1037824/mu1037824,H99 mu1037824/mu1037824,40k
,10,4,1004,3,B73 x H99 slac1,#0034869,B73 mu1037824/mu1037824,H99 mu1037824/mu1037824,40k
,10,5,1005,3,B73 x H99 slac1,#0034869,B73 mu1037824/mu1037824,H99 mu1037824/mu1037824,40k
,10,6,1006,3,B73 x H99 slac1,#0034870,B73 mu1037824/mu1037824,H99 mu1037824/mu1037824,40k
